165
1	1	2	3	4
2	2	3	4	5
3	3	4	5	6
4	4	5	6	7
5	5	6	7	8
6	6	7	8	9
7	7	8	9	10
8	8	9	10	11
9	9	10	11	12
10	10	11	12	13
11	11	12	13	14
12	12	13	14	15
13	13	14	15	16
14	14	15	16	17
15	15	16	17	18
16	16	17	18	19
17	17	18	19	20
18	18	19	20	21
19	19	20	21	22
20	20	21	22	23
21	21	22	23	24
22	1	2	4	5
23	2	3	5	6
24	3	4	6	7
25	4	5	7	8
26	5	6	8	9
27	6	7	9	10
28	7	8	10	11
29	8	9	11	12
30	9	10	12	13
31	10	11	13	14
32	11	12	14	15
33	12	13	15	16
34	13	14	16	17
35	14	15	17	18
36	15	16	18	19
37	16	17	19	20
38	17	18	20	21
39	18	19	21	22
40	19	20	22	23
41	20	21	23	24
42	1	2	5	6
43	2	3	6	7
44	3	4	7	8
45	4	5	8	9
46	5	6	9	10
47	6	7	10	11
48	7	8	11	12
49	8	9	12	13
50	9	10	13	14
51	10	11	14	15
52	11	12	15	16
53	12	13	16	17
54	13	14	17	18
55	14	15	18	19
56	15	16	19	20
57	16	17	20	21
58	17	18	21	22
59	18	19	22	23
60	19	20	23	24
61	1	2	6	7
62	2	3	7	8
63	3	4	8	9
64	4	5	9	10
65	5	6	10	11
66	6	7	11	12
67	7	8	12	13
68	8	9	13	14
69	9	10	14	15
70	10	11	15	16
71	11	12	16	17
72	12	13	17	18
73	13	14	18	19
74	14	15	19	20
75	15	16	20	21
76	16	17	21	22
77	17	18	22	23
78	18	19	23	24
79	1	2	7	8
80	2	3	8	9
81	3	4	9	10
82	4	5	10	11
83	5	6	11	12
84	6	7	12	13
85	7	8	13	14
86	8	9	14	15
87	9	10	15	16
88	10	11	16	17
89	11	12	17	18
90	12	13	18	19
91	13	14	19	20
92	14	15	20	21
93	15	16	21	22
94	16	17	22	23
95	17	18	23	24
96	1	2	8	9
97	2	3	9	10
98	3	4	10	11
99	4	5	11	12
100	5	6	12	13
101	6	7	13	14
102	7	8	14	15
103	8	9	15	16
104	9	10	16	17
105	10	11	17	18
106	11	12	18	19
107	12	13	19	20
108	13	14	20	21
109	14	15	21	22
110	15	16	22	23
111	16	17	23	24
112	1	2	9	10
113	2	3	10	11
114	3	4	11	12
115	4	5	12	13
116	5	6	13	14
117	6	7	14	15
118	7	8	15	16
119	8	9	16	17
120	9	10	17	18
121	10	11	18	19
122	11	12	19	20
123	12	13	20	21
124	13	14	21	22
125	14	15	22	23
126	15	16	23	24
127	1	2	10	11
128	2	3	11	12
129	3	4	12	13
130	4	5	13	14
131	5	6	14	15
132	6	7	15	16
133	7	8	16	17
134	8	9	17	18
135	9	10	18	19
136	10	11	19	20
137	11	12	20	21
138	12	13	21	22
139	13	14	22	23
140	14	15	23	24
141	1	2	11	12
142	2	3	12	13
143	3	4	13	14
144	4	5	14	15
145	5	6	15	16
146	6	7	16	17
147	7	8	17	18
148	8	9	18	19
149	9	10	19	20
150	10	11	20	21
151	11	12	21	22
152	12	13	22	23
153	13	14	23	24
154	1	2	12	13
155	2	3	13	14
156	3	4	14	15
157	4	5	15	16
158	5	6	16	17
159	6	7	17	18
160	7	8	18	19
161	8	9	19	20
162	9	10	20	21
163	10	11	21	22
164	11	12	22	23
165	12	13	23	24
