,thk_00,thk_01,thk_02,rho0_00,rho0_01,rho0_02,rho0_03,max_pha_00,max_pha_01,max_pha_02,max_pha_03,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,c_00,c_01,c_02,c_03
dB/dt tg01,1.9867860309427828e-05,-1.1741309215244514e-05,-7.132349908091812e-06,-3.966082823040058e-07,1.3870713307919024e-08,-4.568993214701831e-09,-4.195982567072042e-07,-0.0008860556252236734,-0.00020329919999174508,2.126726917987303e-05,0.0011815093897713424,0.14444857988497561,3.5236962442282898,4.98282752118001e-06,0.4842347106461834,-2.492066532643872e-05,0.00019341261337805913,-8.025225679107616e-06,-0.00014709349346955666
dB/dt tg02,1.3015235837309058e-05,-8.535547244435802e-06,-4.137253145412589e-06,-1.9325383592539882e-07,1.3114048098917498e-08,-2.5772037021044576e-09,-2.908331764306362e-07,-0.0006372998713097995,-0.00016619977139458044,1.1972739420935142e-05,0.0008011355158904176,0.029765971681580218,2.430350354737116,1.4095906491777695e-05,0.33556485435342204,-1.194889030044876e-05,0.00013413575554793538,-4.4301107745581876e-06,-0.00010211703175070741
dB/dt tg03,9.291705309637723e-06,-6.4693908347580765e-06,-2.5907386997497397e-06,-1.0299503059022528e-07,1.1462226816791763e-08,-1.5821633019996734e-09,-2.1046445788716607e-07,-0.00047483862786219626,-0.00013172866158232916,7.3300382701230165e-06,0.000569046427840506,-0.012489801546436603,1.6304847141735805,1.8321979670435368e-05,0.2426648503992837,-6.184031794811603e-06,9.081298577043709e-05,-2.6463004899135783e-06,-7.398888158866578e-05
dB/dt tg04,6.296948938990574e-06,-4.5729797105922e-06,-1.4852941333153213e-06,-4.885511911398932e-08,9.025080983542946e-09,-8.929028258857034e-10,-1.411850788229578e-07,-0.00032971798087593667,-9.273981758703694e-05,4.115413796374201e-06,0.0003733406113505214,-0.029401037183154923,0.8604085242298459,2.065382108715802e-05,0.16253935336473593,-2.733820740784735e-06,5.010210584597036e-05,-1.4237972252919683e-06,-4.9697547945011225e-05
dB/dt tg05,3.917027663088308e-06,-2.967913625319614e-06,-7.757187298965146e-07,-1.868071688675468e-08,6.33664726120865e-09,-4.577823473508143e-10,-8.842395889418528e-08,-0.00021589496848235096,-5.643594709220423e-05,2.0883050812634773e-06,0.00022769281135883563,-0.03224462147009392,0.25120570554142496,2.12104191298329e-05,0.10154261632752679,-8.385595551507363e-07,1.9613168293697456e-05,-6.651938076232466e-07,-3.116593364375128e-05
dB/dt tg06,2.5497644178188214e-06,-1.9959365213681816e-06,-4.5020884873186824e-07,-7.396130971998226e-09,4.429215527147512e-09,-2.6198704146087653e-10,-5.952483972974105e-08,-0.0001512518695168998,-3.4210739762909614e-05,1.177933358317435e-06,0.00014978156961422553,-0.028766803942054553,-0.048353810637468464,2.069344930594038e-05,0.06816632222883465,-1.545635529024736e-07,5.47429433848507e-06,-3.3324121095034427e-07,-2.0999311321610645e-05
dB/dt tg07,1.7156346363650873e-06,-1.379692657656448e-06,-2.8520441993556793e-07,-2.9760246519621966e-09,3.1132339245982674e-09,-1.645139940069098e-10,-4.240854029714236e-08,-0.0001115917192915429,-2.0744926489291475e-05,7.259995266568303e-07,0.00010458466363596587,-0.024367366078870637,-0.18140241710468763,1.9874066471247706e-05,0.04842535527826044,9.347744345511337e-08,-5.295525468323103e-07,-1.741324074303112e-07,-1.4970345540481308e-05
dB/dt tg08,1.0026864180281554e-06,-8.398820425926017e-07,-1.6323691587530217e-07,-4.479492581542632e-10,1.9076409450273704e-09,-9.306782769344174e-11,-2.7958204399017065e-08,-7.689792287476842e-05,-1.0131223853547305e-05,3.9613532662736547e-07,6.718874973735302e-05,-0.019141779612076974,-0.23163274008551335,1.865351414125978e-05,0.03179144022200019,2.1250809495170826e-07,-2.866374328622003e-06,-6.348935801418305e-08,-9.875176928959181e-06
dB/dt tg09,4.94473320354483e-07,-4.424129670319835e-07,-8.643767760533138e-08,5.484193333792689e-10,9.93142353445437e-10,-4.840197854342293e-11,-1.7267363577126896e-08,-5.003051326622761e-05,-3.673928904394054e-06,1.915826373370953e-07,4.02180430822446e-05,-0.013991836329121043,-0.19993984898722944,1.7134874562480712e-05,0.01952175670860479,2.2985537715105968e-07,-2.14761174319375e-06,-9.998318987014098e-10,-6.101449297581863e-06
dB/dt tg10,2.537941547476026e-07,-2.456806361665316e-07,-5.1503339747946974e-08,7.070287157505476e-10,5.369201990491453e-10,-2.818410958235006e-11,-1.1563470844971188e-08,-3.4996045027256224e-05,-1.3013027945835474e-06,1.002241369306348e-07,2.620669403983122e-05,-0.0105768737797663,-0.1446257046424104,1.587459182187201e-05,0.01299994772753627,2.0547369368075345e-07,-8.067894108166391e-07,2.2664985740918784e-08,-4.0862490522681075e-06
