,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,3.5951430334399487e-06,6.124683431122236e-07,6.767235910106423e-07,-3.831946600985091e-06,-2.7888395564855367e-08,-5.885976094597995e-10,-6.831299992389759e-10,7.579416519120695e-09,-4.543528841047121e-08,-0.0007271922415443013,3.5334648518429056e-06,4.2047185870723946e-06,1.3660537377663992e-06,0.0002779072570826615,-0.14319737011862924,4.728777015442275e-05,3.459695985716274e-05,-31.703924049974958,0.14854868887329198,-1.37164852550398e-06,-2.8260012585162326e-07,-7.693356890093955e-07,-5.180035940213165e-05,-2.8297935719972477e-05
dB/dt tg02,7.795947388525729e-06,2.9669661332880276e-06,3.090915545057819e-06,6.3149891137799804e-06,-7.047745218863302e-08,-7.523662232176425e-10,-6.358455241339732e-10,-2.1200485426959272e-09,-2.3627355516923807e-08,-0.00042423683735600234,4.583052758831616e-06,3.963878847986408e-06,-1.6864143279301106e-06,0.00013923399534600524,-0.09649757463760333,3.930337417772241e-05,2.8947168846351854e-05,93.68976127301168,0.0809546930437535,-2.1682311004588572e-06,-5.285988058226682e-07,-7.534747459343602e-07,1.7753941574277112e-05,-1.532052298647806e-05
dB/dt tg03,1.0315667788280388e-06,5.119333511952833e-07,5.366876335883955e-07,-8.039027142203e-07,-1.4433316823301532e-09,-2.0355359546936117e-10,-2.2958088013772267e-10,2.7283634154775528e-09,-2.0043654639127965e-08,-0.0003365144358556609,1.1158558475326037e-06,1.3564670357468402e-06,3.1376437439913214e-06,0.00011562296540418482,-0.10545920857236775,3.3689312720429774e-05,2.494259759075554e-05,-3.178473747942531,0.06560690373162491,1.1654130642796342e-07,1.572137194269545e-08,-1.8192525013089122e-07,-1.6235611891985468e-05,-1.2576138672078247e-05
dB/dt tg04,-3.3268739406887227e-06,-1.1522877918722648e-06,-1.1930411782185238e-06,-5.500773215841332e-06,4.166089891385499e-08,1.557484257262501e-10,3.709672235079061e-11,5.789751877497785e-09,-1.642938097643672e-08,-0.00025779989391458115,-1.1413529042960048e-06,-3.479426270108655e-07,5.481598941868274e-06,9.353606781961319e-05,-0.10040475703135017,2.8148810172279577e-05,2.0865462083839228e-05,-67.42275156391732,0.0513566770871992,1.5252905233188114e-06,3.5700526789083527e-07,1.8293064273640024e-07,-3.8208545229968674e-05,-9.973151410184711e-06
dB/dt tg05,1.0560056358146042e-06,5.753382054185105e-07,5.94834319004691e-07,1.0278171827354001e-06,-5.909843908183794e-09,-1.2098509383342538e-10,-1.030780410335581e-10,3.126140760106179e-13,-6.922112802107113e-09,-0.00013221654365316943,6.412724023460582e-07,5.912631732598798e-07,7.74342416060412e-07,3.6592333153656495e-05,-0.055331548916956144,2.3104172289326914e-05,1.699880294352575e-05,15.946377791646114,0.022983252091159728,1.3300680727678086e-07,1.704696668965433e-08,-5.659505511100435e-08,1.8585634237174897e-06,-4.444461149225909e-06
dB/dt tg06,1.4534901116362454e-06,7.067431743695369e-07,7.305254305596898e-07,1.8028663079783358e-06,-1.1378038493016849e-08,-1.3226026381859807e-10,-9.723849704959153e-11,-9.029345511480289e-10,-3.780834870991224e-09,-8.303733108280716e-05,7.312937119670936e-07,5.68610567787518e-07,-8.946998638889723e-08,1.8450399249063343e-05,-0.038308370392599544,1.9730225601323788e-05,1.4413363940206392e-05,25.129460869383554,0.012987324743968312,-4.545637790896642e-08,-2.2081648667378492e-08,-6.684427671709612e-08,7.758202662924304e-06,-2.5177387879483917e-06
dB/dt tg07,-2.6086375115166084e-09,1.064974029824464e-07,1.0843476229891773e-07,-6.184982930681671e-08,2.853543818511636e-09,-1.9633271159333907e-11,-2.2355555389041266e-11,4.38921186407549e-10,-3.582766778395941e-09,-6.961930805804575e-05,2.9766289303930184e-08,9.06872224643915e-08,8.408810717118634e-07,1.8049333360822517e-05,-0.035356305035010284,1.7330085065079504e-05,1.2582488624796128e-05,0.25411287824243095,0.011488541004647598,3.542654424054086e-07,8.070129459499428e-08,3.223240785724528e-08,-1.984567362580191e-06,-2.2588154341965965e-06
dB/dt tg08,-6.742761901936907e-07,-1.8403424930612734e-07,-1.928023125134796e-07,-9.189975604545171e-07,9.028501187345137e-09,3.5638376496667634e-11,1.5543017276811157e-11,9.956750402715916e-10,-2.941010510974442e-09,-5.314608789595394e-05,-3.070150620305481e-07,-1.4685572040251153e-07,1.1687236610061985e-06,1.5005577568833683e-05,-0.02921936691509114,1.4873713336658683e-05,1.069313489026081e-05,-11.348462396668465,0.009011639072955236,5.00512968613762e-07,1.216014269839471e-07,7.614238523434063e-08,-6.197688064248386e-06,-1.7914800898374202e-06
dB/dt tg09,-2.0329653991543392e-07,-2.280886863901785e-08,-2.5319438144946327e-08,-2.5724867839063023e-07,3.4704156227581726e-09,7.524776082543361e-12,1.3969073708490078e-12,3.6492123642719544e-10,-1.5815970465004185e-09,-3.1912017168210594e-05,-1.1490769135845646e-07,-4.585709685022332e-08,5.44737159411948e-07,7.540617421364973e-06,-0.019022399376198162,1.2552820526016e-05,8.891900558550693e-06,-2.977752165861739,0.004884831976699897,2.889903023025172e-07,7.408076072884284e-08,4.334580456331063e-08,-2.0226252146662834e-06,-9.797640389156806e-07
dB/dt tg10,2.8544329822683483e-07,1.5309336167717644e-07,1.5760023273395776e-07,4.1716697004784645e-07,-2.0100383814038885e-09,-2.4528224244864367e-11,-1.6402225022165133e-11,-2.2991075485660352e-10,-6.394082252574244e-10,-1.8199045722194307e-05,9.803892622512003e-08,7.624521459050653e-08,-2.4150488086985424e-08,2.3298854523576297e-06,-0.011864907194603183,1.0951113627309121e-05,7.647073549867692e-06,5.697257170628309,0.002129541436368562,9.078449555033263e-08,2.8021828387792845e-08,9.01789250176932e-09,2.0020121759973367e-06,-4.3272949756318634e-07
dB/dt tg11,2.0533020262930595e-07,1.1169503805296232e-07,1.1482796770007654e-07,3.06804951038486e-07,-1.4182223061051713e-09,-1.7282963822544348e-11,-1.1369794885792796e-11,-1.7143537641700333e-10,-4.4083264843514146e-10,-1.3343746829451162e-05,5.8843790852221864e-08,4.746687486900668e-08,-2.051180264351073e-08,1.4693041885768792e-06,-0.009185883843859061,9.7767618112947e-06,6.7410645755064805e-06,4.178000145252856,0.001452519255398776,8.297267481173737e-08,2.7692728140701676e-08,1.1170969765856383e-08,1.4947110008609816e-06,-2.9919958617969323e-07
dB/dt tg12,-1.4113198559045734e-07,-3.302284176029862e-08,-3.524192011937205e-08,-1.7186851304810638e-07,1.976488927480042e-09,8.628274171600554e-12,4.603421242884738e-12,1.8838872302968439e-10,-5.445654542324495e-10,-1.1666269034153353e-05,-9.857118562201657e-08,-5.271991740096018e-08,2.4257073450595734e-07,2.428281438276192e-06,-0.008054766494624112,8.53017395190421e-06,5.785552247683842e-06,-2.1390398786331812,0.0016029127984810393,1.5787617021467853e-07,4.7306639222207304e-08,2.964302406269589e-08,-1.1189478780209599e-06,-3.3026348687437717e-07
dB/dt tg13,-1.091892184300318e-07,-2.796408708319383e-08,-2.9799849865333902e-08,-1.3315121399159265e-07,1.4740108208638364e-09,7.236203288228662e-12,4.08210694741995e-12,1.3832526330480542e-10,-3.5142526360067003e-10,-7.703525584670342e-06,-8.287571938005654e-08,-4.538028780260192e-08,1.7162062107184573e-07,1.5287995863490636e-06,-0.005584862568508946,7.31415036974536e-06,4.854801541411695e-06,-1.6766197533041398,0.0010128244655543,1.1804890102065042e-07,3.802787238837268e-08,2.383920175193496e-08,-8.361845932317799e-07,-2.1109964608358367e-07
dB/dt tg14,2.2525387706527584e-08,1.9159605619591972e-08,1.9306235390526016e-08,4.3499351256837735e-08,4.247275685123469e-12,-1.6964646669278706e-12,-1.115997705904298e-12,-1.4058492526716394e-11,-1.4061635261384196e-10,-4.458978193473678e-06,-2.1301010980364225e-08,-8.678745526354291e-09,2.666959658487907e-08,4.1342995733629174e-07,-0.003560171375732008,6.435779599490961e-06,4.186862875186683e-06,0.6095198110658855,0.00041899004455709835,5.755412130752538e-08,2.3055359896686468e-08,1.2651952221865798e-08,1.9399307638945158e-07,-9.074480244783967e-08
dB/dt tg15,4.549065950621474e-08,2.5395203439878446e-08,2.5923172921418595e-08,7.217432948541851e-08,-2.9469004738390654e-10,-3.096197362180947e-12,-1.8883976601178796e-12,-4.306940642147062e-11,-6.988808411293701e-11,-3.0150994841246498e-06,-8.847377355300004e-09,-1.642340070127998e-09,-8.829585505817666e-09,8.925344507776296e-08,-0.0025748342931644417,5.774666602092665e-06,3.689647847084068e-06,0.9717524260339835,0.00021222914863200905,3.729197071896047e-08,1.7722680862167116e-08,9.08764559157016e-09,3.7300211184837136e-07,-4.82495771695866e-08
dB/dt tg16,6.9589128033529576e-09,7.84588033236942e-09,7.76806776846347e-09,1.6493298229821075e-08,5.131175431447801e-11,-1.7725486423137763e-13,-1.0431356290549277e-13,-3.500870356462099e-12,-6.463398196755328e-11,-2.2433972952966708e-06,-2.33837770036347e-08,-1.1094184808131982e-08,1.541833022656701e-08,1.582214330069597e-07,-0.0019327859008955956,5.0130639835754376e-06,3.1245243083711885e-06,0.2334499252333072,0.00018243822056235274,3.603083308484783e-08,1.6710855745780296e-08,9.175761036888909e-09,7.263369571383418e-08,-4.109612072111386e-08
dB/dt tg17,-3.382260910018358e-08,-9.843119352898184e-09,-1.0598664650251601e-08,-4.167881769760057e-08,4.353241122242769e-10,2.8151122478030953e-12,1.699044659985571e-12,3.965175172655097e-11,-7.536323824604099e-11,-1.8100018926718762e-06,-3.86793618147843e-08,-2.0862504665109345e-08,4.6403965847928845e-08,2.9950972390914546e-07,-0.0015052943643071668,4.284473948392046e-06,2.5934871915190407e-06,-0.533919885876014,0.0002016557724835946,3.8018331357689824e-08,1.624037080727113e-08,9.62144448644483e-09,-2.4650845124947327e-07,-4.386727802518499e-08
