time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,1.680429449e-05,4.950977778e-04,9.481022222e-07,3.960782222e-05,6.102821936e+02,6.406000000e+01
6.070000e-06,6.682172894e-06,1.884177778e-04,5.390133333e-07,1.507342222e-05,8.360479686e+02,9.028000000e+01
7.080000e-06,3.975425402e-06,7.188666667e-05,3.199822222e-07,5.750933333e-06,9.144914546e+02,1.328400000e+02
8.520000e-06,2.514868846e-06,1.722364444e-05,1.575493333e-07,1.377891556e-06,9.114816605e+02,2.528700000e+02
1.053000e-05,4.338201058e-07,1.000400000e-06,8.216400000e-08,8.216400000e-08,2.066507968e+03,1.184080000e+03
1.255000e-05,-1.046157048e-07,-4.475377778e-07,6.536311111e-08,3.580302222e-08,-3.981255229e+03,-1.511410000e+03
1.456000e-05,-6.822386421e-09,-1.518093333e-08,6.047955556e-08,1.214474667e-09,-1.918363866e+04,-1.126030000e+04
1.744000e-05,2.392174737e-08,3.793866667e-07,5.104044444e-08,5.104044444e-08,6.152497122e+03,9.748300000e+02
2.146000e-05,-9.443123164e-08,6.035200000e-07,4.544622222e-08,4.828160000e-08,-1.743268119e+03,5.060900000e+02
2.549000e-05,-1.809520761e-07,6.299422222e-07,4.466266667e-08,5.039537778e-08,-8.482008709e+02,3.693200000e+02
2.950000e-05,-1.518132838e-07,5.898533333e-07,3.892266667e-08,4.718826667e-08,-7.474479306e+02,3.023500000e+02
3.528000e-05,-6.597298610e-08,5.063955556e-07,3.693644444e-08,4.051164444e-08,-9.668648341e+02,2.485100000e+02
4.330000e-05,-5.077953544e-08,4.409777778e-07,3.427600000e-08,3.527822222e-08,-8.182484234e+02,1.936600000e+02
5.140000e-05,-6.056950537e-08,3.609822222e-07,3.201644444e-08,3.201644444e-08,-5.466587076e+02,1.663000000e+02
5.941000e-05,-5.405390527e-08,2.880933333e-07,3.261777778e-08,3.261777778e-08,-4.632764051e+02,1.518500000e+02
7.095000e-05,-3.542262735e-08,2.314222222e-07,3.154266667e-08,3.154266667e-08,-4.567897045e+02,1.306600000e+02
8.707000e-05,-1.845204485e-08,1.957066667e-07,2.751555556e-08,2.751555556e-08,-5.015877386e+02,1.039000000e+02
