name	ri	minT(us)	maxT(us)	lam	lam_fin	my	cf	noifl	max_iter	n_iter	aRMS	rRMS	chi2	runtime(min)
B019	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.50e-04	262.852	2622.178	 1.3
B019	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.49e-04	272.639	1144.533	 1.4
B019	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.49e-04	155.705	199.656	 2.6
B019	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.48e-04	179.955	165.224	 1.7
B019	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.47e-04	176.027	107.216	 1.0
B019	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.48e-04	110.409	 30.476	 1.0
B020	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.40e-04	 98.697	224.385	 1.1
B020	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.40e-04	 99.318	129.639	 1.0
B020	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.39e-04	103.947	 83.936	 1.1
B020	r003	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.14	25	12	1.39e-04	104.193	 54.127	 1.1
B020	r004	5.0	100.0	   500.0	    14.1	1.0e+02	8.0e-01	0.17	25	15	1.39e-04	110.573	 42.306	 1.4
B020	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.39e-04	106.881	 28.559	 1.1
B021	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.38e-04	108.203	219.890	 1.1
B021	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.38e-04	104.406	121.486	 1.1
B021	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.37e-04	105.586	 79.310	 1.1
B021	r003	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.14	25	12	1.38e-04	105.279	 53.608	 1.2
B021	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.37e-04	102.033	 36.022	 1.1
B021	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.35e-04	169.102	 71.488	 1.1
B022	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.31e-04	123.892	218.156	 1.1
B022	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.34e-04	114.427	124.046	 1.1
B022	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.33e-04	106.857	 72.000	 1.2
B022	r003	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.14	25	13	1.34e-04	101.154	 46.063	 1.4
B022	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.33e-04	108.869	 37.524	 1.3
B022	r005	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.20	25	13	1.33e-04	108.873	 27.390	 1.4
B023	r000	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.05	25	12	1.23e-04	124.302	198.487	 1.4
B023	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.26e-04	105.021	108.479	 1.2
B023	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.28e-04	104.180	 76.786	 1.4
B023	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.28e-04	103.941	 49.689	 1.3
B023	r004	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.17	25	12	1.27e-04	103.275	 34.739	 1.3
B023	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.26e-04	107.130	 27.628	 1.3
B024	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.35e-04	175.594	206.101	 1.3
B024	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.39e-04	112.414	111.375	 1.2
B024	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.38e-04	129.187	 67.943	 1.2
B024	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.38e-04	142.825	 44.502	 1.2
B024	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.38e-04	131.852	 33.373	 1.2
B024	r005	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.20	25	12	1.38e-04	106.347	 24.284	 1.3
