name	ri	minT(us)	maxT(us)	lam	lam_fin	my	cf	noifl	max_iter	n_iter	aRMS	rRMS	chi2	runtime(min)
B037	r000	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.05	25	13	1.08e-04	142.366	413.428	 1.6
B037	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.11e-04	415.926	2591.879	 1.3
B037	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.12e-04	299.838	720.512	 2.1
B037	r003	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.14	25	12	1.12e-04	115.525	 55.687	 4.6
B037	r004	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.17	25	14	1.11e-04	113.517	 37.962	 4.1
B037	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.11e-04	127.621	 36.614	 3.4
B038	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.21e-04	213.790	1480.519	 1.4
B038	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.28e-04	113.399	148.742	 1.3
B038	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.27e-04	103.936	 70.222	 3.8
B038	r003	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.14	25	13	1.27e-04	107.263	 49.149	 5.3
B038	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.27e-04	106.191	 34.212	 5.4
B038	r005	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.20	25	12	1.27e-04	105.369	 25.648	 4.3
B039	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.25e-04	268.484	2638.309	 2.9
B039	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.26e-04	130.700	213.171	 1.8
B039	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.27e-04	546.509	2456.984	 2.6
B039	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.25e-04	122.237	 67.501	 3.1
B039	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.25e-04	114.234	 40.381	 1.4
B039	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.25e-04	123.424	 34.424	 5.2
B040	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.26e-04	376.090	214.759	 5.1
B040	r001	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.08	25	13	1.32e-04	251.168	112.647	 2.8
B040	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.31e-04	228.586	 80.528	 1.2
B040	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.31e-04	438.045	 67.371	 1.1
B040	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.31e-04	140.205	 37.330	 1.0
B040	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.31e-04	107.086	 27.800	 1.1
B041	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.31e-04	103.060	216.541	 1.1
B041	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.32e-04	138.607	268.300	 1.1
B041	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.33e-04	107.691	 85.209	 1.2
B041	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.33e-04	108.930	 57.350	 1.5
B041	r004	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.17	25	12	1.33e-04	104.960	 36.886	 2.2
B041	r005	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.20	25	12	1.33e-04	105.871	 27.565	 2.8
B042	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.28e-04	200.055	1510.199	 2.8
B042	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.32e-04	104.385	129.240	 1.6
B042	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.32e-04	108.535	 83.319	 3.8
B042	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.31e-04	131.435	 82.223	 3.5
B042	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.32e-04	105.581	 37.180	 1.1
B042	r005	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.20	25	12	1.32e-04	106.963	 28.170	 1.2
B043	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.30e-04	115.804	362.524	 1.6
B043	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.33e-04	152.019	328.321	 1.0
B043	r002	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.11	25	13	1.32e-04	398.844	1308.530	 1.5
