time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,4.302101861e-04,5.423600000e-04,2.470000000e-07,4.338880000e-05,6.795335892e+01,5.830000000e+01
6.070000e-06,2.286751018e-04,2.111200000e-04,1.690866667e-07,1.688960000e-05,7.671569922e+01,8.093000000e+01
7.080000e-06,1.097406799e-04,8.216000000e-05,1.030640000e-07,6.572800000e-06,9.683762429e+01,1.175200000e+02
8.520000e-06,2.370678370e-05,2.137200000e-05,5.655866667e-08,1.709760000e-06,1.975590386e+02,2.118500000e+02
1.053000e-05,-1.662781591e-05,1.721546667e-06,4.229333333e-08,1.377237333e-07,-1.758222755e+02,7.975000000e+02
1.255000e-05,-2.425189055e-05,-5.633333333e-07,3.667733333e-08,4.506666667e-08,-1.020410011e+02,-1.254170000e+03
1.456000e-05,-2.222511983e-05,-4.329866667e-07,4.012666667e-08,3.463893333e-08,-8.443314269e+01,-1.166540000e+03
1.744000e-05,-1.656439280e-05,-9.569733333e-08,2.142400000e-08,7.655786667e-09,-7.602974004e+01,-2.361620000e+03
2.146000e-05,-1.018027543e-05,1.549946667e-07,1.981200000e-08,1.981200000e-08,-7.443698466e+01,1.211380000e+03
2.549000e-05,-6.425326425e-06,2.457866667e-07,1.962133333e-08,1.966293333e-08,-7.593898658e+01,6.691000000e+02
2.950000e-05,-4.257300530e-06,2.691866667e-07,2.151066667e-08,2.153493333e-08,-7.832223783e+01,4.934200000e+02
3.528000e-05,-2.562928463e-06,2.112933333e-07,1.583400000e-08,1.690346667e-08,-8.152785883e+01,4.304000000e+02
4.330000e-05,-1.439124469e-06,1.686880000e-07,1.562253333e-08,1.562253333e-08,-8.513979264e+01,3.554500000e+02
5.140000e-05,-9.003625968e-07,1.541973333e-07,1.598306667e-08,1.598306667e-08,-8.745698309e+01,2.835700000e+02
5.941000e-05,-6.110747265e-07,8.860800000e-08,1.657413333e-08,1.657413333e-08,-8.895748954e+01,3.223200000e+02
7.095000e-05,-3.766475399e-07,5.144533333e-08,1.062533333e-08,1.062533333e-08,-9.136935598e+01,3.444300000e+02
8.707000e-05,-2.264381801e-07,5.846533333e-08,1.066000000e-08,1.066000000e-08,-9.118652009e+01,2.248600000e+02
