,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,5.5247637556254e-06,2.066323318145214e-06,2.1431492888295056e-06,-1.8236382687177428e-06,-3.531832030796285e-08,-6.813279458388668e-10,-7.146333544897157e-10,1.021580336489485e-08,-5.5603289563482495e-08,-0.0006165744336312549,4.417858040067245e-06,4.600708489188567e-06,6.635685911782143e-05,0.0002981851871348542,-0.4614333705588539,2.4336812366629863e-05,1.799202857536155e-05,-6.702560426728352,0.14960573717795234,-8.258455159935348e-07,-3.96470378797866e-07,-8.487868003288377e-07,0.0010609990299119839,-3.064030125313226e-05
dB/dt tg02,-8.618474899415014e-08,5.286051854570312e-07,6.187219497357566e-07,-2.9231872944794724e-06,1.799801298456882e-08,4.8658393996637634e-11,1.638921135437585e-11,1.1717628887661103e-08,-3.650706994441302e-08,-0.0004171178173478053,-4.2126504053835764e-07,-1.0442775177356352e-07,0.00012238995650982993,0.0001909235445341646,-0.38424200746878123,2.0359169053532274e-05,1.5276003816912587e-05,-14.536884274559085,0.0987091514831714,4.671639423847209e-07,2.051053461260566e-07,1.2885754159076342e-07,0.0005840042160153477,-2.0256750130722028e-05
dB/dt tg03,1.0073443244162315e-06,7.268230866739256e-07,7.536695305251303e-07,-8.696087231405885e-07,1.0429659614699305e-09,-1.6933273549100814e-10,-1.8471215643269738e-10,4.724014814242702e-09,-2.5521531309017648e-08,-0.000279970879770506,1.0142339978286502e-06,1.153176729979035e-06,3.7324657011937806e-05,0.00012944476289715624,-0.30164051067115305,1.7555014985952062e-05,1.3265728446745335e-05,-3.3701808601772942,0.06858408623714342,5.417456105050746e-07,-1.1692245354679492e-08,-1.6317716648754425e-07,0.00043708732083959156,-1.412844643964449e-05
dB/dt tg04,1.9144627904926784e-06,8.443629809481789e-07,8.295461712821219e-07,5.337410737842302e-07,-1.3021107379523168e-08,-3.237833639355587e-10,-3.2695053477134996e-10,-1.6349156308326157e-10,-1.6639581664129024e-08,-0.00017271733111484642,2.04080038417231e-06,2.0490519633551845e-06,-2.1665285555347953e-05,8.137697741622748e-05,-0.21816046240016046,1.476798440256264e-05,1.1190938918858567e-05,4.155981389584817,0.04428120685764679,4.888622868596871e-07,-1.7267986988309943e-07,-3.749697556934807e-07,0.00031846885698633593,-9.172570980340912e-06
dB/dt tg05,-2.275764925168376e-07,1.602760279029362e-07,1.7476029802816676e-07,-5.623868151506211e-07,7.471006328475461e-09,1.2275030572942068e-11,5.2681836307189466e-12,2.4935972566554875e-09,-1.0144498970607295e-08,-0.0001139430803030448,-1.630780736662062e-07,-6.489107795803231e-08,2.5800557668827384e-05,4.849938102759521e-05,-0.15724747453365095,1.2207041894724637e-05,9.230851069091957e-06,-2.7164665381029995,0.02714870818332297,7.102090834897694e-07,9.775936120972357e-08,6.392023346224183e-08,0.00014891551617741516,-5.647595722617276e-06
dB/dt tg06,-5.282046263795633e-07,1.4658615070705224e-08,2.979602984346158e-08,-5.942069930180932e-07,9.164063618011784e-09,6.348238408335718e-11,5.7607551237379404e-11,2.30067710290237e-09,-6.739032018281081e-09,-7.8136736197819e-05,-4.905340099005379e-07,-3.9604030217575995e-07,2.6976456513845302e-05,3.1436963099256164e-05,-0.11601196190337512,1.0492750782073364e-05,7.901257859179792e-06,-3.124211795318773,0.018020964191737206,6.598828362089846e-07,1.2711900740215387e-07,1.2518462689623612e-07,8.59126558539967e-05,-3.767226733438093e-06
dB/dt tg07,-5.711934418475644e-09,1.1430020485659057e-07,1.1679964870640918e-07,-1.329881682962319e-07,2.4917311013934804e-09,-1.431009356916971e-11,-1.6718986790259097e-11,7.868049367472275e-10,-4.784289043944949e-09,-5.315782994909753e-05,3.056524680860769e-08,7.884350761487086e-08,6.87355364348758e-06,2.1604333119822696e-05,-0.08656078411618039,9.272778573922705e-06,6.9477553484478534e-06,-0.5444169891199776,0.012651924709745438,5.081657208513348e-07,4.830139248489924e-08,1.624226761553423e-08,7.124903632768985e-05,-2.6614446382741206e-06
dB/dt tg08,2.3274035061123703e-07,1.4279105355748938e-07,1.392215359442159e-07,1.0164556494741219e-07,-9.183748225812766e-10,-4.732048464629751e-11,-4.7757156516334046e-11,-3.542818756852455e-11,-3.1487219971679975e-09,-3.359192751696058e-05,2.570544254038877e-07,2.792574265902388e-07,-3.501712298704715e-06,1.3660407340508464e-05,-0.06058536127407685,8.01946663867403e-06,5.960180925353773e-06,0.7364283778927765,0.008217899562881475,3.7864212168570237e-07,8.577668258366136e-09,-3.3499508361164325e-08,5.340408596754658e-05,-1.7427811396759282e-06
dB/dt tg09,4.31957194773708e-08,6.355519555641461e-08,6.283061621511675e-08,1.0192028669027536e-09,5.615280383093669e-10,-1.3944516661748269e-11,-1.4601704774800032e-11,1.5959276592479535e-10,-1.939319216670124e-09,-2.1533679558050354e-05,4.561663339001596e-08,7.191114677218164e-08,5.745918326580602e-07,8.126672289250811e-06,-0.04098728642007579,6.829492012211816e-06,5.015130131398575e-06,0.08537316241534025,0.005035152609766948,3.031167812607667e-07,2.7742770564763643e-08,5.1757209258036e-09,2.949704297927617e-05,-1.076666158159012e-06
dB/dt tg10,-1.4351900445564157e-07,-3.0155600955185827e-09,-5.654526761066558e-10,-1.209253615061472e-07,2.280601442553782e-09,1.7438720549298305e-11,1.6231911706215426e-11,4.6307853297981945e-10,-1.293322303587962e-09,-1.5641180390422944e-05,-1.552489641264474e-07,-1.2149164936341569e-07,5.659082914366853e-06,5.307520724076046e-06,-0.02985969768171955,6.00524267898785e-06,4.3576073650984506e-06,-0.6588783095926856,0.0033650361369415927,2.582726257667519e-07,4.845903711243988e-08,4.289437750512812e-08,1.4293309730927189e-05,-7.240310780961748e-07
