Name,Longitude,Latitude,Ellipsoidal height,Antenna height,Easting,Northing,Code,Elevation
B001,7.6892740426193384,46.47319559241674,2421.67474,2.0,399376.5482239195,5147459.527617145,EPSG:32632,2419.67474
B002,7.689337367931842,46.473301388591786,2413.7955835,2.0,399381.6046276843,5147471.2024749415,EPSG:32632,2411.7955835
B003,7.689397238405991,46.47341108977011,2406.09849425,2.0,399386.40298854304,5147483.315639442,EPSG:32632,2404.09849425
B004,7.689453895345514,46.47352453107442,2399.1933215,2.0,399390.9615276955,5147495.848482508,EPSG:32632,2397.1933215
B005,7.6895189590738084,46.47364130298186,2393.8344125000003,2.0,399396.171559531,5147508.740703222,EPSG:32632,2391.8344125000003
B006,7.689591482279203,46.47376262006037,2391.16229325,2.0,399401.96259435324,5147522.128465658,EPSG:32632,2389.16229325
B007,7.689417808355678,46.47381954594508,2389.2187889999996,2.0,399388.7349554004,5147528.674909999,EPSG:32632,2387.2187889999996
B008,7.68934812392634,46.473703130705395,2392.28911875,2.0,399383.1708586894,5147515.828210689,EPSG:32632,2390.28911875
B009,7.6892847675686795,46.47358946187777,2397.6956882500003,2.0,399378.0975957561,5147503.278623891,EPSG:32632,2395.6956882500003
B010,7.689226593453824,46.47347891733881,2404.1723727500002,2.0,399373.4279037234,5147491.06959537,EPSG:32632,2402.1723727500002
B011,7.689171063249381,46.473371884502725,2411.24065,2.0,399368.96763638733,5147479.247404576,EPSG:32632,2409.24065
B012,7.689116450575646,46.473264079335706,2418.5909195,2.0,399364.5763662858,5147467.338231072,EPSG:32632,2416.5909195
B013,7.688948505609551,46.47332307931287,2418.3208495,2.0,399351.7922699645,5147474.107919273,EPSG:32632,2416.3208495
B014,7.689014646819072,46.47342984617069,2410.6936180000002,2.0,399357.0666723658,5147485.88702738,EPSG:32632,2408.6936180000002
B015,7.6890847821407124,46.4735392690602,2403.20196,2.0,399362.65257237427,5147497.956176541,EPSG:32632,2401.20196
B016,7.689158209965333,46.47365382004245,2396.23390075,2.0,399368.5006635908,5147510.590943407,EPSG:32632,2394.23390075
B017,7.689229348237388,46.47377071566031,2390.32519375,2.0,399374.1772898505,5147523.489155133,EPSG:32632,2388.32519375
B018,7.689287586575652,46.47389371571409,2387.5656587500002,2.0,399378.8748486537,5147537.08209288,EPSG:32632,2385.5656587500002
B019,7.689127010332206,46.47394707580873,2386.8635182499997,2.0,399366.6461690008,5147543.215694465,EPSG:32632,2384.8635182499997
B020,7.689054806297555,46.47382812476398,2389.80383675,2.0,399360.88393727527,5147530.09045892,EPSG:32632,2387.80383675
B021,7.68899392538653,46.47371375563574,2395.51278475,2.0,399355.9993817074,5147517.459923027,EPSG:32632,2393.51278475
B022,7.688930309651165,46.47360638666001,2402.1921389999998,2.0,399350.9177670764,5147505.6106943535,EPSG:32632,2400.1921389999998
B023,7.688853751531391,46.473498258979234,2409.88524875,2.0,399344.8411716134,5147493.693654671,EPSG:32632,2407.88524875
B024,7.6887775443771265,46.47338944161136,2418.22467825,2.0,399338.7902244419,5147481.699539457,EPSG:32632,2416.22467825
B025,7.6897653757269575,46.47370511735682,2392.088927,2.0,399415.20605079114,5147515.517678155,EPSG:32632,2390.088927
B026,7.689687222074561,46.47358851075159,2394.245153,2.0,399408.99148194835,5147502.660474551,EPSG:32632,2392.245153
B027,7.689603153889415,46.47347618992818,2399.6171665,2.0,399402.33073811175,5147490.287020895,EPSG:32632,2397.6171665
B028,7.689536015020651,46.47336123262032,2406.565987,2.0,399396.9647447354,5147477.599066083,EPSG:32632,2404.565987
B029,7.689489279381878,46.47324719265224,2414.2519062500005,2.0,399393.1667463408,5147464.9870652165,EPSG:32632,2412.2519062500005
B030,7.689454503733227,46.4731374910845,2422.0783442499996,2.0,399390.2948819398,5147452.8418968385,EPSG:32632,2420.0783442499996
B031,7.689651146471356,46.473095896063285,2420.07130875,2.0,399405.3142305877,5147447.969698601,EPSG:32632,2418.07130875
B032,7.689722512389668,46.47320347666059,2412.19773025,2.0,399410.991140838,5147459.832618239,EPSG:32632,2410.19773025
B033,7.689798246383818,46.473311513624736,2405.0222185000002,2.0,399417.0042010395,5147471.740691342,EPSG:32632,2403.0222185000002
B034,7.689870869936186,46.473421518033575,2398.21738175,2.0,399422.7820803962,5147483.871341706,EPSG:32632,2396.21738175
B035,7.689942901645895,46.473537303304276,2394.05429225,2.0,399428.5251537419,5147496.645089257,EPSG:32632,2392.05429225
B036,7.690029572475827,46.473653565790435,2395.110923,2.0,399435.3928983112,5147509.453234679,EPSG:32632,2393.110923
B037,7.689966343060592,46.47324512489352,2406.77073875,2.0,399429.78640464647,5147464.149949857,EPSG:32632,2404.77073875
B038,7.690133881093917,46.47318745929872,2410.2659962499997,2.0,399442.54182272387,5147457.529215058,EPSG:32632,2408.2659962499997
B039,7.690300436403503,46.47313839241677,2415.57031675,2.0,399455.23766366794,5147451.865201043,EPSG:32632,2413.57031675
B040,7.6904610245691805,46.473083924373256,2421.4015092500003,2.0,399467.4654904904,5147445.608658453,EPSG:32632,2419.4015092500003
B041,7.690619752400622,46.47302510133826,2427.141214,2.0,399479.54250692157,5147438.870604438,EPSG:32632,2425.141214
B042,7.6907881675905285,46.472980315135054,2432.3282525,2.0,399492.38908237923,5147433.679949265,EPSG:32632,2430.3282525
B043,7.690960377977674,46.47293991590291,2437.25036,2.0,399505.5351087204,5147428.97195119,EPSG:32632,2435.25036
B044,7.691129277276923,46.47289051717401,2441.7286675,2.0,399518.4104002395,5147423.268216979,EPSG:32632,2439.7286675
B045,7.69130830225779,46.47284879101139,2444.6076009999997,2.0,399532.07717577944,5147418.4041692745,EPSG:32632,2442.6076009999997
