time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,4.424639174e-06,4.644844444e-04,1.605013333e-07,6.502782222e-05,1.485567243e+03,6.684000000e+01
6.070000e-06,2.217066515e-06,1.746782222e-04,8.916133333e-08,2.445495111e-05,1.744444619e+03,9.494000000e+01
7.080000e-06,1.271502251e-06,6.660222222e-05,5.956844444e-08,9.324311111e-06,1.955347580e+03,1.397600000e+02
8.520000e-06,6.912340101e-07,1.561644444e-05,4.203866667e-08,2.186302222e-06,2.156129111e+03,2.699300000e+02
1.053000e-05,3.141518887e-07,6.210133333e-07,3.329200000e-08,8.694186667e-08,2.562617286e+03,1.626950000e+03
1.255000e-05,1.644727224e-07,-7.208711111e-07,3.263600000e-08,1.009219556e-07,2.944570949e+03,-1.100030000e+03
1.456000e-05,1.035747440e-07,-3.934177778e-07,3.425777778e-08,5.507848889e-08,3.128858691e+03,-1.285610000e+03
1.744000e-05,5.828149504e-08,4.865333333e-08,2.835377778e-08,2.835377778e-08,3.398022341e+03,3.833300000e+03
2.146000e-05,2.644371837e-08,3.001200000e-07,2.857244444e-08,4.201680000e-08,4.072798666e+03,8.061600000e+02
2.549000e-05,1.140329239e-08,3.542400000e-07,3.012133333e-08,4.959360000e-08,5.356168784e+03,5.420300000e+02
2.950000e-05,5.567422502e-09,3.327377778e-07,2.744266667e-08,4.658328889e-08,6.771496731e+03,4.429200000e+02
3.528000e-05,2.876915832e-09,2.849955556e-07,2.478222222e-08,3.989937778e-08,7.804140660e+03,3.645300000e+02
4.330000e-05,1.375345515e-10,2.212177778e-07,2.685955556e-08,3.097048889e-08,4.211173317e+04,3.067100000e+02
5.140000e-05,-1.543756228e-09,1.668426667e-07,2.624000000e-08,2.624000000e-08,-6.311992486e+03,2.781900000e+02
5.941000e-05,-2.082888657e-09,1.402746667e-07,2.547466667e-08,2.547466667e-08,-4.060824270e+03,2.453500000e+02
7.095000e-05,-2.075847887e-09,1.197017778e-07,2.363422222e-08,2.363422222e-08,-3.027655582e+03,2.028300000e+02
8.707000e-05,-1.820040633e-09,6.862488889e-08,2.255911111e-08,2.255911111e-08,-2.349574337e+03,2.089600000e+02
