,thk_00,thk_01,thk_02,rho0_00,rho0_01,rho0_02,rho0_03,max_pha_00,max_pha_01,max_pha_02,max_pha_03,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,c_00,c_01,c_02,c_03
dB/dt tg01,7.434354468070613e-07,-2.2492733411088467e-07,-1.612909051563429e-07,-1.2441779143112578e-09,-2.415607961546448e-10,-3.2864291272588867e-10,-7.3631189601742274e-09,-0.0006393923909114215,1.7567926527302274e-06,2.158034450348759e-06,8.535254552552046e-05,-1.2947028271054553,6.262644269075801e-05,1.9489616264976454e-05,0.06276153965265019,1.4055846575639788e-07,4.161924680897264e-08,-2.5249645693489157e-07,-9.050578757373386e-06
dB/dt tg02,8.202879868009087e-08,-7.768213294932887e-08,-4.927641538539777e-08,4.800283846372178e-09,-1.3727952540594656e-10,-1.808732745232885e-10,-4.510001551874847e-09,-0.0004006367342996193,8.92445829788453e-07,1.1656183714841197e-06,4.911299668415888e-05,-0.9846023313424672,5.3876848474230786e-05,1.8599989935248252e-05,0.03814215882231415,1.2089052660116397e-06,6.327585571127074e-08,-1.1552327789305889e-07,-5.547289715103496e-06
dB/dt tg03,-2.683267767536379e-07,-6.300581577065034e-08,-4.4262421915304625e-08,7.245565608542173e-09,-7.191399568357286e-11,-1.0154447844652668e-10,-3.0199442648811007e-09,-0.00027009413499970474,3.614258293295412e-07,6.409770961197433e-07,3.142217914008291e-05,-0.753104386589662,4.761216968420057e-05,1.7584346201618798e-05,0.025287198194846643,1.5360084806225417e-06,7.46720952408203e-08,-4.507163866333779e-08,-3.7165054875131004e-06
dB/dt tg04,-3.714173521521558e-07,-5.524111010384986e-08,-4.249523070893702e-08,6.97434805290443e-09,-3.049156991717243e-11,-5.04735412601166e-11,-1.8893919113626773e-09,-0.0001694828701104347,4.0115568441625933e-08,3.051077550654142e-07,1.866213159709979e-05,-0.5279366095299919,4.127617020382536e-05,1.6252773193643005e-05,0.015602099022407737,1.5245947808697282e-06,7.456443730882955e-08,-3.3156210854588275e-09,-2.3254599453361724e-06
dB/dt tg05,-2.1517549860855278e-07,-9.608257816649736e-09,-5.614157273425494e-09,4.31633308227932e-09,-1.985367814205159e-11,-2.794362332550101e-11,-1.0718619864860402e-09,-9.867288222729199e-05,-1.821158236683126e-08,1.5477236551522797e-07,9.535280139643075e-06,-0.343226736111373,3.530568899622803e-05,1.4755590722318866e-05,0.008705064793987442,1.2801729869298098e-06,6.113415300099834e-08,1.0644177463152223e-08,-1.3177079363795386e-06
dB/dt tg06,-1.4846405012091384e-07,7.072114841821233e-10,2.0810717981014467e-09,2.9872669049993303e-09,-1.235182843671087e-11,-1.643774292920022e-11,-6.754765713501341e-10,-6.3109854759837e-05,-5.877612368478211e-08,8.032589611475152e-08,5.468545640748567e-06,-0.23622303298118585,3.1172124905381223e-05,1.3583310253466144e-05,0.005389802534831413,1.034195088718091e-06,5.2431216393327125e-08,1.6109049117790858e-08,-8.2912476343632e-07
dB/dt tg07,-1.3648746877155628e-07,-4.382548455748393e-09,-3.020892281505039e-09,2.4477172752441513e-09,-5.482367247363884e-12,-8.947739499086215e-12,-4.671117356895767e-10,-4.349092510479301e-05,-9.989265648220784e-08,3.347292240493229e-08,3.562607750834658e-06,-0.17043980197366337,2.8133712864453004e-05,1.2650980544532306e-05,0.0036606124716836923,8.359948502098253e-07,4.705670284123696e-08,1.913843627338342e-08,-5.725217088487849e-07
dB/dt tg08,-1.0947402567113512e-07,-5.923663389177144e-09,-4.8408655311522764e-09,1.8172342986848075e-09,-1.3299959682178895e-12,-3.985013747534208e-12,-2.974616097456244e-10,-2.760502672948345e-05,-1.1685461199545341e-07,3.233681073786082e-09,2.0797127267629573e-06,-0.11354910563063901,2.4901630691628596e-05,1.1595574057259404e-05,0.002273928348954771,6.26202976377971e-07,4.018589412991776e-08,1.9500288956401678e-08,-3.6364922140180917e-07
dB/dt tg09,-6.483243849812273e-08,-1.815336256974867e-09,-1.5337818201773178e-09,1.1017185016306291e-09,-5.831131160308645e-13,-1.973296875904826e-12,-1.736260061953503e-10,-1.6313513709669893e-05,-1.0522570671009538e-07,-7.975220412892567e-09,1.0276909652514846e-06,-0.07046501151381353,2.1686472765005965e-05,1.0477648937053153e-05,0.0012839523005430751,4.338633038663952e-07,3.219252678446444e-08,1.714920834675251e-08,-2.1124441098475567e-07
dB/dt tg10,-3.43808945996579e-08,1.5256331727490464e-09,1.2662393465978714e-09,6.514193018374306e-10,-8.382987806125835e-13,-1.419377366174463e-12,-1.0952262703352288e-10,-1.0523307680485847e-05,-9.025924471276826e-08,-1.0096185382539795e-08,5.175285273764599e-07,-0.04707871997795761,1.9339676336727785e-05,9.616205142953471e-06,0.0007832389344345857,3.132363592622876e-07,2.6357509516954146e-08,1.4670219317992138e-08,-1.324762218114373e-07
